address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 강동구 명일동 312-140,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,371455830,1577-0711,세븐일레븐 명일스타점,http://place.map.kakao.com/371455830,서울 강동구 고덕로38길 64,127.142423767624,37.5517007941239
서울 강동구 명일동 46-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,2136359774,1577-0711,세븐일레븐 고덕역점,http://place.map.kakao.com/2136359774,서울 강동구 고덕로 256,127.154235682034,37.5545240968143
서울 강동구 상일동 148,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,10563102,,세븐일레븐 S상일동역점,http://place.map.kakao.com/10563102,서울 강동구 고덕로 지하 359,127.1658423484033,37.556663548860335
서울 강동구 암사동 455-42,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1600663944,1577-0711,세븐일레븐 암사중앙점,http://place.map.kakao.com/1600663944,서울 강동구 고덕로24길 30,127.13543307321,37.553393884565
서울 강동구 고덕동 310,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,8441731,,세븐일레븐 S고덕역점,http://place.map.kakao.com/8441731,서울 강동구 고덕로 지하 253,127.154163868631,37.5550431648147
서울 강동구 명일동 47-16,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,13119503,,세븐일레븐 강동고덕점,http://place.map.kakao.com/13119503,서울 강동구 동남로75길 13-25,127.15546685201393,37.55304034201811
서울 강동구 명일동 47-4,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,2134262030,1577-0711,세븐일레븐 명일이마트점,http://place.map.kakao.com/2134262030,서울 강동구 동남로75길 19,127.155157924629,37.5541444697912
서울 강동구 상일동 149,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,18112888,,세븐일레븐 강동경희대병원점,http://place.map.kakao.com/18112888,서울 강동구 동남로 892,127.157469683173,37.5534494436234
서울 강동구 둔촌동 50-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,2130156105,1577-0711,세븐일레븐 둔촌푸르지오점,http://place.map.kakao.com/2130156105,서울 강동구 명일로 171,127.14461244465,37.534134062935
서울 강동구 길동 79-5,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,707583737,1577-0711,세븐일레븐 길동명일로점,http://place.map.kakao.com/707583737,서울 강동구 명일로 263,127.147287059869,37.542167673167
서울 강동구 길동 470,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,254232179,1577-0711,세븐일레븐 길동현대점,http://place.map.kakao.com/254232179,서울 강동구 명일로 200-34,127.147672802783,37.5369486034765
서울 강동구 길동 97,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,27408525,,세븐일레븐 길동해그린점,http://place.map.kakao.com/27408525,서울 강동구 명일로19길 12,127.146089301919,37.5395418476098
서울 강동구 천호동 35-29,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,12149666,,세븐일레븐 강동구민회관점,http://place.map.kakao.com/12149666,서울 강동구 상암로 171,127.141421952279,37.5461608610008
서울 강동구 천호동 321-64,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,482465496,1577-0711,세븐일레븐 강동열린점,http://place.map.kakao.com/482465496,서울 강동구 상암로4길 102,127.124376029666,37.5463926814399
서울 강동구 상일동 490,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1860470685,1577-0711,세븐일레븐 강일리엔파크점,http://place.map.kakao.com/1860470685,서울 강동구 상일로 74,127.17401150951365,37.55382266253024
서울 강동구 고덕동 197-5,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,16848926,1577-0711,세븐일레븐 고덕리앤파크점,http://place.map.kakao.com/16848926,서울 강동구 상일로 137,127.17079618684,37.5592153160573
서울 강동구 상일동 502,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,344865267,,세븐일레븐 상일삼성점,http://place.map.kakao.com/344865267,서울 강동구 상일로6길 39,127.17508633375897,37.54982515144516
서울 강동구 상일동 249,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,19429387,1577-0711,세븐일레븐 강동상일여고점,http://place.map.kakao.com/19429387,서울 강동구 상일로7길 6,127.172468149006,37.5500191151181
